date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
17:47:45	18685/18685	---MCZ	200	added ('OK')	text/html	date:Sat,%2006%20Mar%202021%2012:43:51%20GMT	https://preview.colorlib.com/theme/calvin/index.html	C:/My%20Web%20Sites/resume1/preview.colorlib.com/theme/calvin/index.html	(from )
17:47:46	14/14	---M--	200	added ('OK')	text/plain	etag:%22e-5c01b2e3a6ac3%22	https://preview.colorlib.com/robots.txt		(from )
17:47:47	2272/2272	---MCZ	404	error ('Not%20Found')	text/html	date:Tue,%2022%20Nov%202022%2012:17:49%20GMT	https://preview.colorlib.com/theme/calvin/site.webmanifest	C:/My%20Web%20Sites/resume1/preview.colorlib.com/theme/calvin/site.webmanifest	(from https://preview.colorlib.com/theme/calvin/index.html)
17:47:47	1150/1150	---MCZ	200	added ('OK')	image/vnd.microsoft.icon	etag:W/%2247e-5bcde0ecebad5%22	https://preview.colorlib.com/theme/calvin/assets/img/favicon.ico	C:/My%20Web%20Sites/resume1/preview.colorlib.com/theme/calvin/assets/img/favicon.ico	(from https://preview.colorlib.com/theme/calvin/index.html)
17:47:48	30535/30535	---MCZ	200	added ('OK')	text/css	etag:W/%227747-5c1f9aca2fb92-gzip%22	https://preview.colorlib.com/theme/calvin/assets/css/bootstrap.min.css	C:/My%20Web%20Sites/resume1/preview.colorlib.com/theme/calvin/assets/css/bootstrap.min.css	(from https://preview.colorlib.com/theme/calvin/index.html)
17:47:48	183/183	---MCZ	200	added ('OK')	text/css	etag:W/%22b7-5c1f9aca30b32-gzip%22	https://preview.colorlib.com/theme/calvin/assets/css/owl.carousel.min.css	C:/My%20Web%20Sites/resume1/preview.colorlib.com/theme/calvin/assets/css/owl.carousel.min.css	(from https://preview.colorlib.com/theme/calvin/index.html)
17:47:49	2506/2506	---MCZ	200	added ('OK')	text/css	etag:W/%229ca-5c220b779ba4e-gzip%22	https://preview.colorlib.com/theme/calvin/assets/css/slicknav.css	C:/My%20Web%20Sites/resume1/preview.colorlib.com/theme/calvin/assets/css/slicknav.css	(from https://preview.colorlib.com/theme/calvin/index.html)
17:47:49	1045/1045	---MCZ	200	added ('OK')	text/css	etag:W/%22415-5c1f9aca30b32-gzip%22	https://preview.colorlib.com/theme/calvin/assets/css/progressbar_barfiller.css	C:/My%20Web%20Sites/resume1/preview.colorlib.com/theme/calvin/assets/css/progressbar_barfiller.css	(from https://preview.colorlib.com/theme/calvin/index.html)
17:47:50	55521/55521	---MCZ	200	added ('OK')	text/css	etag:W/%22d8e1-5c1f9aca30b32-gzip%22	https://preview.colorlib.com/theme/calvin/assets/css/gijgo.css	C:/My%20Web%20Sites/resume1/preview.colorlib.com/theme/calvin/assets/css/gijgo.css	(from https://preview.colorlib.com/theme/calvin/index.html)
17:47:50	34411/34411	---MCZ	200	added ('OK')	text/css	etag:W/%22866b-5c1f9aca2fb92-gzip%22	https://preview.colorlib.com/theme/calvin/assets/css/animate.min.css	C:/My%20Web%20Sites/resume1/preview.colorlib.com/theme/calvin/assets/css/animate.min.css	(from https://preview.colorlib.com/theme/calvin/index.html)
